Gender,Age,Debt,Married,BankCustomer,Job,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,30.83,0.0,1,1,7,White,1.25,0,1,1,0,ByBirth,-1,0,Approved
0,58.67,4.46,1,1,9,Black,3.04,0,1,6,0,ByBirth,-1,560,Approved
0,24.5,0.5,1,1,9,Black,1.5,0,0,0,0,ByBirth,-1,824,Approved
1,27.83,1.54,1,1,7,White,3.75,0,1,5,1,ByBirth,100,3,Approved
1,20.17,5.625,1,1,7,White,1.71,0,0,0,0,ByOtherMeans,120,0,Approved
1,32.08,4.0,1,1,0,White,2.5,0,0,0,1,ByBirth,-1,0,Approved
1,33.17,1.04,1,1,12,Black,6.5,0,0,0,1,ByBirth,-1,5000,Approved
0,22.92,11.585,1,1,8,White,0.04,0,0,0,0,ByBirth,80,1349,Approved
1,54.42,0.5,0,0,5,Black,3.96,0,0,0,0,ByBirth,-1,314,Approved
1,42.5,4.915,0,0,7,White,3.165,0,0,0,1,ByBirth,-1,1442,Approved
1,22.08,0.83,1,1,4,Black,2.165,1,0,0,1,ByBirth,-1,0,Approved
1,29.92,1.835,1,1,4,Black,4.335,0,0,0,0,ByBirth,-1,200,Approved
0,38.25,6.0,1,1,5,White,1.0,0,0,0,1,ByBirth,0,0,Approved
1,48.08,6.04,1,1,5,White,0.04,1,0,0,0,ByBirth,0,2690,Approved
0,45.83,10.5,1,1,9,White,5.0,0,1,7,1,ByBirth,0,0,Approved
1,36.67,4.415,0,0,5,White,0.25,0,1,10,1,ByBirth,-1,0,Approved
1,28.25,0.875,1,1,0,White,0.96,0,1,3,1,ByBirth,-1,0,Approved
0,23.25,5.875,1,1,9,White,3.17,0,1,10,0,ByBirth,120,245,Approved
1,21.83,0.25,1,1,10,Black,0.665,0,0,0,1,ByBirth,0,0,Approved
0,19.17,8.585,1,1,8,Black,0.75,0,1,7,0,ByBirth,-1,0,Approved
1,25.0,11.25,1,1,4,White,2.5,0,1,17,0,ByBirth,200,1208,Approved
1,23.25,1.0,1,1,4,White,0.835,0,0,0,0,ByOtherMeans,-1,0,Approved
0,47.75,8.0,1,1,4,White,7.875,0,1,6,1,ByBirth,0,1260,Approved
0,27.42,14.5,1,1,13,Black,3.085,0,1,1,0,ByBirth,120,11,Approved
0,41.17,6.5,1,1,9,White,0.5,0,1,3,1,ByBirth,-1,0,Approved
0,15.83,0.585,1,1,4,Black,1.5,0,1,2,0,ByBirth,100,0,Approved
0,47.0,13.0,1,1,1,Asian,5.165,0,1,9,1,ByBirth,0,0,Approved
1,56.58,18.5,1,1,10,Asian,15.0,0,1,17,1,ByBirth,0,0,Approved
1,57.42,8.5,1,1,3,Black,7.0,0,1,3,0,ByBirth,0,0,Approved
1,42.08,1.04,1,1,7,White,5.0,0,1,6,1,ByBirth,-1,5000,Approved
